onset	duration	trial_type	correct
4	6.0	MS4	1
16	6.0	CS3	1
26	6.0	CS2	1
36	6.0	CS4	1
48	6.0	MS3	1
58	6.0	CS4	1
76	6.0	CS3	1
90	6.0	MS1	1
106	6.0	CS2	1
116	6.0	MS2	1
126	6.0	MS3	1
142	6.0	CS4	1
152	6.0	MS4	1
168	6.0	CS2	1
178	6.0	MS4	1
188	6.0	MS1	1
204	6.0	MS1	1
214	6.0	MS3	1
224	6.0	MS3	1
234	6.0	CS2	1
246	6.0	CS4	1
256	6.0	CS3	1
268	6.0	CS3	1
278	6.0	MS2	1
290	6.0	CS1	1
300	6.0	CS1	1
312	6.0	MS2	1
322	6.0	MS1	1
336	6.0	MS4	1
348	6.0	CS1	1
358	6.0	MS1	1
368	6.0	CS1	1
384	6.0	MS3	1
394	6.0	CS1	1
404	6.0	CS3	1
414	6.0	MS4	1
424	6.0	MS2	1
434	6.0	CS4	1
446	6.0	CS2	1
462	6.0	MS2	1
