onset	duration	trial_type	correct
4	6.0	CS3	1
16	6.0	CS4	0
28	6.0	CS3	1
38	6.0	MS1	1
48	6.0	MS1	1
58	6.0	CS1	1
70	6.0	MS4	1
80	6.0	CS1	1
90	6.0	MS3	0
102	6.0	CS1	1
112	6.0	MS4	1
124	6.0	MS1	1
136	6.0	CS2	1
146	6.0	CS3	1
156	6.0	MS3	0
166	6.0	CS2	0
176	6.0	CS2	1
186	6.0	MS2	0
196	6.0	CS2	1
206	6.0	CS1	1
218	6.0	CS2	1
234	6.0	MS4	1
246	6.0	MS2	1
260	6.0	MS3	1
274	6.0	MS2	1
288	6.0	CS4	0
298	6.0	CS4	0
308	6.0	MS1	1
320	6.0	MS3	0
330	6.0	MS2	1
340	6.0	MS4	1
350	6.0	MS3	1
360	6.0	CS3	1
370	6.0	CS4	1
382	6.0	MS1	1
392	6.0	MS4	1
402	6.0	MS2	1
416	6.0	CS1	0
426	6.0	CS4	1
436	6.0	CS3	1
