onset	duration	trial_type	correct
4	6.0	MS2	1
14	6.0	MS2	1
26	6.0	CS1	1
36	6.0	MS1	1
48	6.0	MS2	1
58	6.0	CS3	1
68	6.0	CS3	1
80	6.0	CS3	1
90	6.0	MS4	1
100	6.0	MS1	1
110	6.0	CS1	1
120	6.0	MS3	1
130	6.0	MS3	0
142	6.0	MS4	1
154	6.0	MS1	1
164	6.0	CS4	0
174	6.0	MS4	1
188	6.0	MS1	0
200	6.0	CS2	1
210	6.0	MS3	1
220	6.0	MS4	1
230	6.0	MS3	1
240	6.0	CS1	1
252	6.0	MS2	0
262	6.0	MS4	0
276	6.0	CS4	1
286	6.0	MS1	1
296	6.0	CS2	1
306	6.0	CS3	1
320	6.0	CS3	1
330	6.0	CS4	0
340	6.0	CS4	0
352	6.0	CS2	1
364	6.0	MS3	0
380	6.0	CS2	1
390	6.0	CS1	1
406	6.0	CS1	1
418	6.0	CS4	0
428	6.0	CS2	1
438	6.0	MS2	0
