onset	duration	trial_type	correct
4	6.0	CS2	0
14	6.0	MS2	1
24	6.0	MS4	1
34	6.0	MS1	1
50	6.0	MS4	1
62	6.0	MS4	1
72	6.0	CS2	1
82	6.0	CS1	1
92	6.0	CS3	1
102	6.0	CS2	1
112	6.0	MS3	1
124	6.0	MS1	1
134	6.0	CS1	1
146	6.0	MS1	1
158	6.0	CS3	1
168	6.0	MS4	1
178	6.0	MS3	1
188	6.0	MS4	1
198	6.0	CS4	1
210	6.0	MS2	1
220	6.0	MS3	1
230	6.0	MS2	1
244	6.0	MS2	1
258	6.0	MS3	1
270	6.0	CS3	1
284	6.0	CS1	1
298	6.0	MS1	0
308	6.0	CS4	1
318	6.0	MS1	1
332	6.0	CS2	1
342	6.0	CS3	1
352	6.0	CS3	1
366	6.0	CS4	1
378	6.0	CS1	1
388	6.0	CS1	1
398	6.0	MS2	1
408	6.0	CS2	1
418	6.0	CS4	1
428	6.0	MS3	1
438	6.0	CS4	1
