onset	duration	trial_type	correct
4	6.0	MS4	1
16	6.0	MS1	1
26	6.0	MS1	1
40	6.0	CS4	1
50	6.0	CS2	1
60	6.0	CS1	1
70	6.0	MS2	1
80	6.0	CS4	1
90	6.0	CS1	1
102	6.0	CS4	1
112	6.0	MS1	1
124	6.0	MS3	1
140	6.0	CS4	1
152	6.0	CS2	1
164	6.0	CS2	1
174	6.0	MS3	1
184	6.0	CS1	1
194	6.0	MS4	1
206	6.0	MS4	1
216	6.0	MS3	1
230	6.0	CS4	1
240	6.0	CS3	1
250	6.0	MS2	1
260	6.0	MS1	1
270	6.0	MS3	1
280	6.0	CS2	1
294	6.0	CS3	1
306	6.0	MS2	1
316	6.0	CS3	0
326	6.0	MS4	1
336	6.0	MS1	1
346	6.0	CS1	1
356	6.0	CS3	1
368	6.0	MS4	1
378	6.0	MS2	1
392	6.0	CS1	1
406	6.0	MS3	1
418	6.0	CS3	1
428	6.0	CS2	1
438	6.0	MS2	1
