onset	duration	trial_type	correct
4	6.0	MS2	0
14	6.0	MS4	1
24	6.0	CS3	0
36	6.0	MS4	1
46	6.0	MS1	1
58	6.0	MS3	0
70	6.0	MS1	1
80	6.0	MS2	1
90	6.0	CS4	0
102	6.0	MS2	1
112	6.0	MS3	1
122	6.0	CS2	0
132	6.0	CS1	0
142	6.0	CS3	0
152	6.0	MS4	1
162	6.0	CS4	1
176	6.0	CS2	1
190	6.0	CS1	0
200	6.0	CS1	1
214	6.0	MS1	1
224	6.0	MS4	1
236	6.0	MS3	1
248	6.0	CS4	0
258	6.0	MS2	1
274	6.0	CS1	1
284	6.0	CS4	1
294	6.0	MS3	0
304	6.0	MS4	1
316	6.0	CS2	1
326	6.0	MS1	1
336	6.0	CS1	1
348	6.0	CS4	0
358	6.0	MS1	1
368	6.0	CS3	0
378	6.0	MS3	1
394	6.0	CS3	1
406	6.0	MS2	1
418	6.0	CS2	1
428	6.0	CS2	1
438	6.0	CS3	1
