onset	duration	trial_type	correct
4	6.0	CS2	1
16	6.0	CS4	1
28	6.0	MS2	1
38	6.0	MS3	0
52	6.0	CS1	1
62	6.0	CS4	1
76	6.0	CS3	1
86	6.0	MS3	1
98	6.0	CS1	1
114	6.0	MS4	1
130	6.0	CS4	1
142	6.0	MS1	1
154	6.0	MS4	1
166	6.0	CS2	1
178	6.0	MS1	1
188	6.0	MS2	1
200	6.0	CS2	1
210	6.0	CS2	1
226	6.0	MS3	1
236	6.0	CS1	1
246	6.0	CS3	1
256	6.0	CS3	1
268	6.0	MS3	1
284	6.0	MS4	1
296	6.0	CS1	1
306	6.0	MS2	1
316	6.0	MS1	1
326	6.0	CS2	1
340	6.0	CS3	1
354	6.0	MS2	1
364	6.0	CS4	1
374	6.0	MS1	1
388	6.0	MS4	1
400	6.0	MS4	1
410	6.0	MS3	1
420	6.0	CS3	1
432	6.0	CS4	1
442	6.0	MS2	1
452	6.0	CS1	1
464	6.0	MS1	1
