onset	duration	trial_type	correct
4	6.0	CS2	1
16	6.0	MS1	1
26	6.0	CS2	1
38	6.0	MS3	1
50	6.0	CS2	1
60	6.0	MS2	1
70	6.0	MS3	1
82	6.0	CS1	0
94	6.0	MS4	1
104	6.0	MS4	1
114	6.0	MS1	1
124	6.0	MS4	1
134	6.0	MS3	1
144	6.0	CS2	1
154	6.0	CS3	1
164	6.0	CS1	1
174	6.0	CS2	1
188	6.0	MS4	1
200	6.0	CS4	1
210	6.0	CS3	1
220	6.0	MS3	1
230	6.0	CS3	1
242	6.0	MS2	1
254	6.0	CS1	1
264	6.0	CS1	1
278	6.0	CS4	1
288	6.0	MS4	1
304	6.0	CS3	1
314	6.0	CS3	1
328	6.0	CS1	1
338	6.0	MS1	1
350	6.0	MS3	1
360	6.0	CS4	1
370	6.0	CS4	1
380	6.0	MS1	1
390	6.0	MS2	1
402	6.0	MS1	1
416	6.0	MS2	1
428	6.0	CS4	1
438	6.0	MS2	1
