onset	duration	trial_type	correct
4	6.0	CS1	1
16	6.0	MS4	1
26	6.0	MS2	1
38	6.0	CS1	1
48	6.0	MS4	1
58	6.0	MS3	1
68	6.0	CS4	1
84	6.0	CS4	1
94	6.0	CS1	1
104	6.0	MS2	1
114	6.0	CS4	1
124	6.0	CS3	0
138	6.0	MS4	1
148	6.0	CS1	1
158	6.0	CS2	1
168	6.0	CS2	1
178	6.0	CS3	1
188	6.0	CS2	1
198	6.0	CS4	1
212	6.0	CS3	1
226	6.0	CS1	1
238	6.0	CS4	1
250	6.0	MS2	1
260	6.0	MS1	1
270	6.0	MS3	1
280	6.0	MS4	1
292	6.0	CS3	1
302	6.0	MS1	1
312	6.0	CS2	1
324	6.0	MS2	1
334	6.0	CS3	1
344	6.0	MS2	1
354	6.0	MS3	1
364	6.0	MS3	1
374	6.0	MS1	1
386	6.0	MS1	1
396	6.0	MS4	1
410	6.0	MS1	1
422	6.0	MS3	1
438	6.0	CS2	1
