onset	duration	trial_type	correct
4	6.0	CS1	1
14	6.0	MS3	1
24	6.0	CS2	1
34	6.0	MS3	1
46	6.0	CS4	1
58	6.0	MS3	1
70	6.0	MS4	1
80	6.0	CS1	1
90	6.0	CS3	1
102	6.0	MS2	1
114	6.0	MS1	1
124	6.0	CS4	1
134	6.0	MS2	1
144	6.0	CS2	0
156	6.0	CS2	1
170	6.0	MS1	1
180	6.0	MS1	1
190	6.0	CS1	1
200	6.0	CS4	1
210	6.0	CS4	1
220	6.0	CS2	1
234	6.0	MS2	1
244	6.0	MS4	1
256	6.0	CS1	1
270	6.0	MS4	1
280	6.0	CS3	1
292	6.0	MS3	1
302	6.0	MS3	1
312	6.0	MS2	1
326	6.0	CS4	1
336	6.0	MS1	1
346	6.0	MS4	1
356	6.0	MS2	1
366	6.0	CS3	1
376	6.0	CS3	1
390	6.0	CS1	1
402	6.0	CS2	1
412	6.0	MS4	1
426	6.0	CS3	1
436	6.0	MS1	1
