onset	duration	trial_type	correct
4	6.0	CS4	1
14	6.0	MS4	1
24	6.0	MS4	1
36	6.0	MS3	1
46	6.0	CS2	1
56	6.0	MS4	1
70	6.0	CS2	1
80	6.0	MS2	1
90	6.0	CS4	1
106	6.0	MS3	1
116	6.0	MS2	1
130	6.0	MS4	1
140	6.0	MS3	1
150	6.0	CS3	1
162	6.0	CS3	1
174	6.0	CS2	1
184	6.0	CS1	1
194	6.0	CS4	1
204	6.0	MS1	1
214	6.0	CS1	1
224	6.0	MS4	1
236	6.0	MS1	1
248	6.0	CS3	1
258	6.0	CS1	1
268	6.0	CS3	1
284	6.0	MS2	1
294	6.0	MS2	1
306	6.0	CS4	0
316	6.0	CS1	1
326	6.0	MS1	1
336	6.0	CS3	1
350	6.0	CS1	1
360	6.0	MS3	1
372	6.0	MS1	1
382	6.0	CS2	0
394	6.0	CS2	1
404	6.0	CS4	0
416	6.0	MS2	1
428	6.0	MS1	1
438	6.0	MS3	1
