onset	duration	trial_type	correct
4	6.0	CS2	1
14	6.0	CS2	1
24	6.0	MS3	0
34	6.0	MS2	1
44	6.0	MS4	1
54	6.0	CS3	1
64	6.0	CS4	1
74	6.0	MS3	1
90	6.0	MS1	1
102	6.0	CS4	1
112	6.0	CS3	1
124	6.0	CS3	1
134	6.0	MS3	1
144	6.0	MS1	1
154	6.0	MS4	1
164	6.0	MS2	1
174	6.0	CS1	1
186	6.0	CS4	1
196	6.0	MS1	1
208	6.0	CS1	1
218	6.0	CS1	1
228	6.0	CS3	1
238	6.0	MS4	1
248	6.0	CS2	1
260	6.0	MS2	0
270	6.0	MS2	1
280	6.0	MS1	1
290	6.0	MS3	1
302	6.0	MS3	1
312	6.0	CS2	1
328	6.0	MS1	1
338	6.0	CS1	1
354	6.0	MS4	1
368	6.0	CS4	1
380	6.0	CS3	1
390	6.0	CS2	1
402	6.0	MS4	1
414	6.0	MS2	1
428	6.0	CS1	1
438	6.0	CS4	1
