onset	duration	trial_type	correct
4	6.0	CS4	1
16	6.0	MS1	1
30	6.0	CS1	1
44	6.0	CS3	0
60	6.0	MS2	1
70	6.0	MS3	0
80	6.0	MS4	1
90	6.0	MS4	1
100	6.0	CS1	1
110	6.0	MS3	1
120	6.0	CS3	1
130	6.0	MS4	0
142	6.0	CS4	0
152	6.0	MS1	1
162	6.0	CS1	0
172	6.0	CS4	1
182	6.0	MS2	1
194	6.0	CS1	0
206	6.0	CS2	0
216	6.0	MS1	0
226	6.0	CS2	0
236	6.0	CS2	1
248	6.0	CS2	1
262	6.0	MS2	1
274	6.0	CS3	1
284	6.0	MS1	1
294	6.0	MS4	1
308	6.0	CS4	1
320	6.0	MS3	1
330	6.0	CS4	1
340	6.0	CS3	0
350	6.0	CS2	1
364	6.0	MS3	1
376	6.0	MS1	1
386	6.0	MS3	1
396	6.0	CS1	1
406	6.0	MS2	0
416	6.0	MS2	1
426	6.0	CS3	1
438	6.0	MS4	1
