onset	duration	trial_type	correct
4	6.0	MS3	1
16	6.0	MS1	1
28	6.0	MS4	0
38	6.0	MS4	1
50	6.0	CS4	0
60	6.0	CS3	1
70	6.0	CS2	1
80	6.0	MS4	1
90	6.0	MS2	1
100	6.0	MS2	0
112	6.0	MS3	1
122	6.0	MS1	1
132	6.0	CS3	1
144	6.0	CS1	0
158	6.0	MS3	1
168	6.0	CS4	0
178	6.0	MS4	1
192	6.0	CS1	1
202	6.0	MS2	1
212	6.0	CS1	0
224	6.0	MS3	1
234	6.0	MS4	1
244	6.0	MS1	1
254	6.0	CS2	1
264	6.0	CS3	0
274	6.0	CS4	0
286	6.0	CS1	1
300	6.0	CS4	0
316	6.0	CS3	1
326	6.0	MS3	1
340	6.0	CS3	0
354	6.0	MS2	1
364	6.0	MS1	1
374	6.0	MS1	1
384	6.0	MS2	1
394	6.0	CS4	0
404	6.0	CS2	0
414	6.0	CS1	1
424	6.0	CS2	0
438	6.0	CS2	1
