onset	duration	trial_type	correct
4	6.0	CS3	1
14	6.0	MS3	0
24	6.0	CS3	1
36	6.0	MS1	1
50	6.0	MS4	0
60	6.0	MS1	1
70	6.0	CS3	1
80	6.0	CS2	1
90	6.0	MS3	1
102	6.0	MS2	1
114	6.0	MS3	1
126	6.0	CS1	0
138	6.0	CS1	0
148	6.0	CS2	0
158	6.0	CS1	0
168	6.0	MS1	1
178	6.0	CS4	1
188	6.0	MS3	1
198	6.0	MS2	1
208	6.0	CS2	1
220	6.0	CS4	1
232	6.0	CS4	1
242	6.0	CS3	1
256	6.0	MS2	1
266	6.0	CS4	1
278	6.0	CS3	0
288	6.0	MS2	1
298	6.0	MS4	1
312	6.0	CS1	0
322	6.0	CS4	1
338	6.0	MS1	1
348	6.0	MS1	1
358	6.0	MS4	0
368	6.0	MS3	1
382	6.0	CS2	0
392	6.0	MS4	1
402	6.0	MS2	1
414	6.0	CS2	1
428	6.0	MS4	1
438	6.0	CS1	1
